case_id,image_quality,damage_confidence,claim_image_consistency,image_order_consistency,policy_match_score,evidence_completeness,image_usable,relevant_region_visible,damage_detected,damage_evidence_quality,damage_needs_human_review,order_valid,policy_eligible,evidence_reliable
M4_W6_001,0.6016093949457162,0.2756013059891555,0.8427176311721438,0.8028167767686246,0.8310898347038805,0.8884500629027129,1,0,1,1.0,0,1,1,0
M4_W6_002,0.7042315311677012,0.7688463211479625,0.5518170377655823,0.9092519142247916,0.5211974584715529,0.586692165843911,1,1,1,1.0,0,1,1,1
M4_W6_003,0.762250997492075,0.6441457323783469,0.7694683226452588,0.7453744866597417,0.8929251556812698,0.7900829744435625,1,0,1,1.0,1,1,1,0
M4_W6_004,0.6792524010898214,0.9476589148747543,0.5311078189195308,0.48049377216614764,0.6007459667016948,0.7336151642738199,1,0,1,0.5,0,1,1,0
M4_W6_005,0.7960961116533289,0.5809733539335321,0.878688049903199,0.8423780072872967,0.7409870129550029,0.815853458288544,1,1,1,1.0,0,1,1,1
M4_W6_006,0.8479869049310883,0.6405414679793491,0.2546881993132584,0.7514801048008569,0.648256408309909,0.8334263465762044,1,1,1,1.0,0,1,1,0
M4_W6_007,0.679292794180354,0.6867752155287706,0.6933642876844396,0.4883849572605332,0.6769980578984642,0.4029825326372428,1,1,1,1.0,0,1,0,0
M4_W6_008,0.5163618054631012,0.5825039607030469,0.9012515986183874,0.7921095515147263,0.635537342509469,0.4622259026117469,1,0,1,1.0,0,1,1,0
M4_W6_009,0.8094555471480048,0.6534825549029478,0.52816259891456,0.9147631216257864,0.7179145733938659,0.7331115788786328,1,1,1,1.0,0,1,1,1
M4_W6_010,0.9032446695919747,0.5778004402151844,0.9042227993261901,0.8018059922347178,0.8218425971802148,0.558662562356104,1,1,1,0.5,1,1,1,0
M4_W6_011,0.5817644469397496,0.8805074685262281,0.7148018657063147,0.5625937331525777,0.8882854437037827,0.9210617474705921,1,0,1,1.0,0,1,1,0
M4_W6_012,0.674280179757369,0.7041727484418131,0.7312430216310918,0.8863993939942079,0.83743684014174,0.8590408477509331,1,1,1,1.0,0,0,1,0
M4_W6_013,0.9130706855528594,0.5305701159459406,0.8602158380571752,0.4035087373328787,0.7152920150913158,0.3931984630500808,1,0,1,1.0,0,0,1,0
M4_W6_014,0.6798853015258102,0.5928127960102938,0.29150518823575666,0.9125987565898831,0.49720483863250364,0.7670622946809729,1,1,0,1.0,0,1,1,0
M4_W6_015,0.8816936144217571,0.4297153756251524,0.7346478257083753,0.9143239187392584,0.6982855134151134,0.41690474902840335,0,1,1,1.0,0,1,1,0
M4_W6_016,0.5906111959497957,0.48244303865024685,0.6436648612660775,0.8896169804794413,0.4472132951801054,0.9472035599668209,1,1,1,1.0,0,1,1,0
M4_W6_017,0.5000677236884401,0.6664961513585236,0.8350460072178393,0.32190754492355683,0.7716701526272916,0.6151328440736097,1,1,1,1.0,0,1,1,0
