"case_id","source_image_id","file_name","source_dataset","source_pool","source_folder","source_annotation","claim_id","claim_text","expected_verdict","actual_visual_state","damage_type","confidence","case_origin","construction_method","parent_case_id","image_variant_id","unique_physical_image","review_status","notes"
"DDV1-001","H001","hole_001.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-001","The garment has a visible hole or tear.","positive","hole_or_tear_visible","hole_or_tear","high","source_image_claim","original_image_matching_claim","","H001-ORIGINAL","no","provisional_week1","Claim is consistent with the hole/tear source image selected during Week 1 batch triage."
"DDV1-002","H002","hole_002.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-002","The garment has a visible hole or tear.","positive","hole_or_tear_visible","hole_or_tear","high","source_image_claim","original_image_matching_claim","","H002-ORIGINAL","no","provisional_week1","Claim is consistent with the hole/tear source image selected during Week 1 batch triage."
"DDV1-003","H003","hole_003.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-003","The garment has a visible hole or tear.","positive","hole_or_tear_visible","hole_or_tear","high","source_image_claim","original_image_matching_claim","","H003-ORIGINAL","no","provisional_week1","Claim is consistent with the hole/tear source image selected during Week 1 batch triage."
"DDV1-004","H004","hole_004.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-004","The garment has a visible hole or tear.","positive","hole_or_tear_visible","hole_or_tear","high","source_image_claim","original_image_matching_claim","","H004-ORIGINAL","no","provisional_week1","Claim is consistent with the hole/tear source image selected during Week 1 batch triage."
"DDV1-005","H005","hole_005.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-005","The garment has a visible hole or tear.","positive","hole_or_tear_visible","hole_or_tear","high","source_image_claim","original_image_matching_claim","","H005-ORIGINAL","no","provisional_week1","Claim is consistent with the hole/tear source image selected during Week 1 batch triage."
"DDV1-006","H006","hole_006.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-006","The garment has a visible hole or tear.","positive","hole_or_tear_visible","hole_or_tear","high","source_image_claim","original_image_matching_claim","","H006-ORIGINAL","no","provisional_week1","Claim is consistent with the hole/tear source image selected during Week 1 batch triage."
"DDV1-007","H007","hole_007.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-007","The garment has a visible hole or tear.","positive","hole_or_tear_visible","hole_or_tear","high","source_image_claim","original_image_matching_claim","","H007-ORIGINAL","no","provisional_week1","Claim is consistent with the hole/tear source image selected during Week 1 batch triage."
"DDV1-008","H008","hole_008.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-008","The garment has a visible hole or tear.","positive","hole_or_tear_visible","hole_or_tear","high","source_image_claim","original_image_matching_claim","","H008-ORIGINAL","no","provisional_week1","Claim is consistent with the hole/tear source image selected during Week 1 batch triage."
"DDV1-009","H009","hole_009.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-009","The garment has a visible hole or tear.","positive","hole_or_tear_visible","hole_or_tear","high","source_image_claim","original_image_matching_claim","","H009-ORIGINAL","no","provisional_week1","Claim is consistent with the hole/tear source image selected during Week 1 batch triage."
"DDV1-010","H010","hole_010.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-010","The garment has a visible hole or tear.","positive","hole_or_tear_visible","hole_or_tear","high","source_image_claim","original_image_matching_claim","","H010-ORIGINAL","no","provisional_week1","Claim is consistent with the hole/tear source image selected during Week 1 batch triage."
"DDV1-011","H011","hole_011.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-011","The garment has a visible hole or tear.","positive","hole_or_tear_visible","hole_or_tear","high","source_image_claim","original_image_matching_claim","","H011-ORIGINAL","no","provisional_week1","Claim is consistent with the hole/tear source image selected during Week 1 batch triage."
"DDV1-012","H012","hole_012.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-012","The garment has a visible hole or tear.","positive","hole_or_tear_visible","hole_or_tear","high","source_image_claim","original_image_matching_claim","","H012-ORIGINAL","no","provisional_week1","Claim is consistent with the hole/tear source image selected during Week 1 batch triage."
"DDV1-013","H013","hole_013.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-013","The garment has a visible hole or tear.","positive","hole_or_tear_visible","hole_or_tear","high","source_image_claim","original_image_matching_claim","","H013-ORIGINAL","no","provisional_week1","Claim is consistent with the hole/tear source image selected during Week 1 batch triage."
"DDV1-014","H014","hole_014.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-014","The garment has a visible hole or tear.","positive","hole_or_tear_visible","hole_or_tear","high","source_image_claim","original_image_matching_claim","","H014-ORIGINAL","no","provisional_week1","Claim is consistent with the hole/tear source image selected during Week 1 batch triage."
"DDV1-015","H015","hole_015.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-015","The garment has a visible hole or tear.","positive","hole_or_tear_visible","hole_or_tear","high","source_image_claim","original_image_matching_claim","","H015-ORIGINAL","no","provisional_week1","Claim is consistent with the hole/tear source image selected during Week 1 batch triage."
"DDV1-016","H016","hole_016.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-016","The garment has a visible hole or tear.","positive","hole_or_tear_visible","hole_or_tear","high","source_image_claim","original_image_matching_claim","","H016-ORIGINAL","no","provisional_week1","Claim is consistent with the hole/tear source image selected during Week 1 batch triage."
